itt,dur,rslc,rt,mt
50,363.64,29852,1264136,33.69401550292969
49,162.16,20122,1284258,33.82460021972656
48,40.54,15066,1299324,33.86474609375
47,1297.3,15468,1314792,34.143272399902344
46,1333.33,13356,1328148,34.19715118408203
45,166.67,17711,1345859,34.2149658203125
44,1.5e3,13842,1359701,34.1622314453125
43,400.0,14595,1374296,34.253013610839844
42,800.0,16159,1390455,34.12017059326172
41,1454.55,14847,1405302,34.183677673339844
40,648.65,16906,1422208,34.25688171386719
39,1454.55,13929,1436137,34.165504455566406
38,1.5e3,15055,1451192,34.17097473144531
37,181.82,16800,1467992,34.22930908203125
36,387.1,15294,1483286,34.146095275878906
35,3096.77,13477,1496763,34.20861053466797
34,90.91,14718,1511481,34.239219665527344
33,342.86,16017,1527498,34.13226318359375
32,1.6e3,17002,1544500,34.198875427246094
31,48.39,15605,1560105,34.248779296875
30,400.0,14000,1574105,34.15038299560547
29,705.88,14903,1589008,34.18800354003906
28,1.5e3,16891,1605899,34.20745086669922
27,2909.09,15320,1621219,34.07948303222656
26,193.55,13357,1634576,34.12828826904297
25,42.86,17342,1651918,34.18916320800781
24,1.6e3,13459,1665377,34.13502502441406
23,727.27,15531,1680908,34.18920135498047
22,176.47,17279,1698187,34.25299835205078
21,181.82,15447,1713634,34.16682434082031
20,3.2e3,15161,1728795,34.176841735839844
19,3.2e3,15408,1744203,34.16007995605469
18,45.45,16101,1760304,34.21751403808594
17,300.0,12771,1773075,34.26861572265625
16,90.91,17145,1790220,34.14739990234375
15,300.0,15759,1805979,34.188514709472656
14,363.64,12711,1818690,34.25445556640625
13,648.65,16110,1834800,34.19080352783203
12,166.67,16875,1851675,34.20063781738281
11,81.08,15008,1866683,34.26225280761719
10,342.86,14791,1881474,34.17694854736328
9,666.67,14707,1896181,34.15553283691406
8,93.75,15954,1912135,34.12250518798828
7,3096.77,13515,1925650,34.1556396484375
6,2742.86,15437,1941087,34.223297119140625
5,81.08,16914,1958001,34.24542236328125
4,88.24,13785,1971786,34.147621154785156
3,1454.55,17104,1988890,34.16545867919922
2,1.6e3,16102,2004992,34.2647705078125
1,324.32,13473,2018465,34.18292999267578
itt,dur,rslc,rt,mt
50,181.82,24765,2043230,33.867706298828125
49,1548.39,15482,2058712,33.85107421875
48,800.0,12848,2071560,33.878318786621094
47,2909.09,15489,2087049,33.94026184082031
46,750.0,17959,2105008,33.97779846191406
45,387.1,15582,2120590,33.884361267089844
44,600.0,13447,2134037,33.896644592285156
43,375.0,15802,2149839,33.94075012207031
42,90.91,15272,2165111,33.95176696777344
41,2742.86,17232,2182343,34.23853302001953
40,176.47,14931,2197274,34.152488708496094
39,352.94,15747,2213021,34.13554382324219
38,50.0,12847,2225868,34.207611083984375
37,96.77,15707,2241575,34.19523620605469
36,1297.3,15224,2256799,34.18816375732422
35,2594.59,15487,2272286,34.108055114746094
34,42.86,15418,2287704,34.15894317626953
33,300.0,17278,2304982,34.185523986816406
32,187.5,15031,2320013,34.095062255859375
31,96.77,15017,2335030,34.10292053222656
30,2594.59,15117,2350147,34.10572814941406
29,363.64,14896,2365043,34.11317443847656
28,300.0,14880,2379923,34.15391540527344
27,162.16,16613,2396536,34.19789123535156
26,166.67,13643,2410179,34.107398986816406
25,324.32,15144,2425323,34.17658996582031
24,387.1,17341,2442664,34.21507263183594
23,400.0,15021,2457685,34.15296173095703
22,3.2e3,13893,2471578,34.19622039794922
21,1411.76,14622,2486200,34.28192901611328
20,166.67,15858,2502058,34.182220458984375
19,45.45,15521,2517579,34.24253845214844
18,150.0,16887,2534466,34.29468536376953
17,387.1,13512,2547978,34.17814636230469
16,150.0,15364,2563342,34.21832275390625
15,166.67,17167,2580509,34.27601623535156
14,181.82,15097,2595606,34.18915557861328
13,2823.53,15071,2610677,34.179405212402344
12,1411.76,15241,2625918,34.188804626464844
11,75.0,13720,2639638,34.24372100830078
10,1.6e3,14754,2654392,34.25982666015625
9,1.2e3,17520,2671912,34.269371032714844
8,2742.86,13835,2685747,34.185569763183594
7,2742.86,17267,2703014,34.27588653564453
6,352.94,14705,2717719,34.19115447998047
5,93.75,13914,2731633,34.17650604248047
4,90.91,17198,2748831,34.269386291503906
3,705.88,15097,2763928,34.1832275390625
2,2909.09,15059,2778987,34.17285919189453
1,41.67,15087,2794074,34.17939758300781
